t_1,x_1,y_1,v_1,t_2,x_2,y_2,v_2,t_3,x_3,y_3,v_3,t_4,x_4,y_4,v_4,t_5,x_5,y_5,v_5,t_6,x_6,y_6,v_6,t_7,x_7,y_7,v_7
0.0,-3.529e-05,0.06329,0.0,0.0,-0.001905,0.08876,0.0,0.0,-0.002537,0.07905,0.0,0.0,-0.001689766423,0.07211519482,0.0,0.0,-0.001964,0.07241,0.0,0.0,0.002926581766,0.07382250788,0.0,0.0,-0.0008488,0.06998,0.0
0.033,-0.0004996,0.06233,0.02641,0.033,-0.00189,0.0873,0.04557,0.033,0.001069,0.07742,0.124,0.03333333333,-1.014517208e-05,0.07215854517,0.05491949958,0.033,-0.001897,0.07239,0.02024,0.03333333333,0.004467330922,0.07367063972,0.06316138519,0.033,0.000692,0.06983,0.06316
0.067,0.001436,0.06232,0.06564,0.067,0.0002517,0.08662,0.08557,0.067,0.005157,0.076,0.145,0.06666666667,0.001966149963,0.07231367118,0.06277065653,0.067,-0.0006147,0.07237,0.04179,0.06666666667,0.006837957067,0.07226313791,0.08399462803,0.067,0.003063,0.06842,0.08399
0.1,0.003873,0.06214,0.08487,0.1,0.003512,0.08546,0.122,0.1,0.01009,0.07394,0.151,0.1,0.004171909115,0.07230762021,0.08528098711,0.1,0.000885,0.07224,0.05952,0.1,0.009656094748,0.07156523738,0.1112155358,0.1,0.005881,0.06772,0.111
0.133,0.007071,0.06182,0.106,0.133,0.007901,0.08379,0.158,0.133,0.01493,0.07354,0.168,0.1333333333,0.00765154001,0.07230350262,0.1100767168,0.133,0.00328,0.07161,0.08171,0.1333333333,0.01399683642,0.07033354862,0.1281576399,0.133,0.01022,0.06649,0.128
0.167,0.01086,0.06117,0.118,0.167,0.01365,0.08255,0.159,0.167,0.02111,0.07211,0.204,0.1666666667,0.01151020293,0.07235515811,0.1271727939,0.167,0.006115,0.07071,0.108,0.1666666667,0.01798480321,0.06966001749,0.1418432086,0.167,0.01421,0.06582,0.142
0.2,0.01485,0.06074,0.124,0.2,0.01825,0.08141,0.16,0.2,0.02823,0.07058,0.226,0.2,0.01610899708,0.07289600755,0.1483742246,0.2,0.01032,0.07004,0.137,0.2,0.0232712027,0.06848798323,0.1581639848,0.2,0.0195,0.06465,0.158
0.233,0.01915,0.06098,0.14,0.233,0.02402,0.08006,0.206,0.233,0.03584,0.06897,0.231,0.2333333333,0.02140079049,0.07249772189,0.1670391424,0.233,0.01502,0.06879,0.156,0.2333333333,0.02841084796,0.0680854925,0.1777156039,0.233,0.02464,0.06424,0.178
0.267,0.02416,0.06134,0.157,0.267,0.03159,0.07802,0.24,0.267,0.04332,0.06735,0.21,0.2666666667,0.0272205638,0.07215959203,0.2000955666,0.267,0.02038,0.0674,0.166,0.2666666667,0.03502324109,0.06698540115,0.19481613,0.267,0.03125,0.06314,0.195
0.3,0.02963,0.06128,0.172,0.3,0.03942,0.07582,0.247,0.3,0.0496,0.06646,0.215,0.3,0.03466748027,0.07110392961,0.2124717061,0.3,0.02593,0.06682,0.172,0.3,0.04128372406,0.06636197776,0.2066267909,0.3,0.03751,0.06252,0.207
0.333,0.03562,0.06134,0.187,0.333,0.04757,0.07402,0.26,0.333,0.05749,0.06533,0.228,0.3333333333,0.04120736033,0.06992117146,0.2336049941,0.333,0.03186,0.06664,0.194,0.3333333333,0.0487135332,0.06545902757,0.2227432949,0.333,0.04494,0.06162,0.223
0.367,0.04211,0.06184,0.204,0.367,0.05633,0.07197,0.267,0.367,0.0647,0.06477,0.245,0.3666666667,0.05007805146,0.06885595792,0.2671872431,0.367,0.03888,0.06664,0.22,0.3666666667,0.05606784843,0.0649695372,0.2282556015,0.367,0.05229,0.06113,0.228
0.4,0.04921,0.06177,0.221,0.4,0.06508,0.07079,0.266,0.4,0.07369,0.06338,0.281,0.4,0.05887060099,0.06762019875,0.2575208646,0.4,0.04651,0.06676,0.239,0.4,0.06391696994,0.06481573867,0.2344609364,0.4,0.06014,0.06097,0.234
0.433,0.05682,0.06174,0.236,0.433,0.0738,0.06906,0.252,0.433,0.08323,0.06198,0.263,0.4333333333,0.0670916771,0.06655840579,0.2615589008,0.433,0.05479,0.06714,0.249,0.4333333333,0.07168467554,0.06431044448,0.2537356686,0.433,0.06791,0.06047,0.254
0.467,0.06495,0.06176,0.249,0.467,0.08168,0.06799,0.25,0.467,0.09113,0.06161,0.248,0.4666666667,0.07615357374,0.06530570282,0.2567390932,0.467,0.0631,0.0678,0.258,0.4666666667,0.08075473862,0.0631937544,0.257928051,0.467,0.07698,0.05935,0.258
