t_1,x_1,y_1,v_1,t_2,x_2,y_2,v_2,t_3,x_3,y_3,v_3,t_4,x_4,y_4,v_4,t_5,x_5,y_5,v_5,t_6,x_6,y_6,v_6,t_7,x_7,y_7,v_7
0.0,0.001796,0.07697,0.0,0.0,0.0005417675024,0.07263865694,0.0,0.0,0.001674,0.09174,0.0,0.0,0.0003044196366,0.0731691444,0.0,2.567,0.341,0.05633,0.0,0.0,0.001333,0.06267,0.0,0.0,0.002411,0.06336,0.0
0.033,0.003023,0.07716,0.04448,0.03333333333,0.001058120063,0.07274671138,0.02165900996,0.033,0.001672,0.09141,0.01956,0.03333333333,0.0006355964257,0.07283213645,0.04230342179,2.533,0.34,0.05635,0.03306,0.033,0.002836,0.06277,0.05044,0.033,0.003914,0.06346,0.05044
0.067,0.004546,0.07808,0.05892,0.06666666667,0.001937476364,0.07300871391,0.03291950422,0.067,0.002948,0.09147,0.03879,0.06666666667,0.003111914929,0.07290145647,0.08085114707,2.7,0.348,0.05567,0.04008,0.067,0.004683,0.06296,0.05946,0.067,0.005761,0.06365,0.05946
0.1,0.00678,0.07831,0.07324,0.1,0.003075906344,0.07360981926,0.04140119437,0.1,0.004255,0.09153,0.03921,0.1,0.006025420162,0.07288433283,0.09866161566,2.5,0.339,0.05644,0.04464,0.1,0.00673,0.06351,0.0657,0.1,0.007808,0.06421,0.0657
0.133,0.00935,0.07896,0.07952,0.1333333333,0.004554265078,0.07388647035,0.04654727126,0.133,0.005556,0.09163,0.04074,0.1333333333,0.00968794197,0.07276507816,0.1186525631,2.333,0.33,0.05649,0.04656,0.133,0.008957,0.06392,0.06271,0.133,0.01003,0.06462,0.06271
0.167,0.01197,0.07938,0.07742,0.1666666667,0.006136856851,0.07411984938,0.0533802091,0.167,0.006958,0.0918,0.03987,0.1666666667,0.01393258279,0.0726661988,0.139875867,2.367,0.331,0.05665,0.04849,0.167,0.01088,0.06403,0.06342,0.167,0.01196,0.06473,0.06342
0.2,0.01448,0.07951,0.08056,0.2,0.008011391753,0.07473055732,0.06474661671,0.2,0.008172,0.09211,0.04288,0.2,0.019012273,0.07264865743,0.1529063008,2.6,0.342,0.05633,0.04878,0.2,0.01318,0.06407,0.07191,0.2,0.01426,0.06476,0.07191
0.233,0.01733,0.07969,0.08872,0.2333333333,0.01032007829,0.07518395572,0.07573947351,0.233,0.009717,0.09255,0.04876,0.2333333333,0.02412405325,0.07245047235,0.1557141638,0.033,0.004836,0.0621,0.05044,0.233,0.01567,0.06423,0.07629,0.233,0.01675,0.06493,0.07629
0.267,0.02039,0.07964,0.09701,0.2666666667,0.0128297558,0.07624012035,0.08136740617,0.267,0.01138,0.09264,0.05575,0.2666666667,0.02938769835,0.07231020168,0.1627521303,2.4,0.333,0.05681,0.05403,0.267,0.01826,0.06431,0.07592,0.267,0.01934,0.06501,0.07592
0.3,0.02378,0.08018,0.1,0.3,0.01535632551,0.07719923394,0.08850540829,0.3,0.01343,0.09267,0.0665,0.3,0.03497043975,0.07216502262,0.1680048679,2.467,0.337,0.0566,0.0545,0.3,0.0207,0.06474,0.08598,0.3,0.02178,0.06543,0.08598
