masa_A
t,x,y,v
0.000,2.411E-3,6.336E-2,
0.033,3.914E-3,6.346E-2,5.044E-2
0.067,5.761E-3,6.365E-2,5.946E-2
0.100,7.808E-3,6.421E-2,6.570E-2
0.133,1.003E-2,6.462E-2,6.271E-2
0.167,1.196E-2,6.473E-2,6.342E-2
0.200,1.426E-2,6.476E-2,7.191E-2
0.233,1.675E-2,6.493E-2,7.629E-2
0.267,1.934E-2,6.501E-2,7.592E-2
0.300,2.178E-2,6.543E-2,8.598E-2
0.333,2.500E-2,6.593E-2,9.825E-2
0.367,2.829E-2,6.613E-2,0.100
0.400,3.169E-2,6.618E-2,0.109
0.433,3.558E-2,6.642E-2,0.120
0.467,3.971E-2,6.662E-2,0.117
0.500,4.336E-2,6.701E-2,0.123
0.533,4.787E-2,6.738E-2,0.143
0.567,5.290E-2,6.764E-2,0.141
0.600,5.722E-2,6.860E-2,0.148
0.633,6.269E-2,6.894E-2,0.151
0.667,6.727E-2,6.941E-2,0.162
0.700,7.346E-2,7.000E-2,0.190
0.733,7.990E-2,7.003E-2,0.199
0.767,8.669E-2,7.003E-2,0.211
0.800,9.393E-2,6.981E-2,0.221
0.833,0.101,6.979E-2,0.243
0.867,0.110,6.902E-2,0.250
0.900,0.118,6.867E-2,0.239
0.933,0.126,6.843E-2,0.249
0.967,0.135,6.790E-2,0.246
1.000,0.142,6.711E-2,0.242
1.033,0.151,6.631E-2,0.238
1.067,0.158,6.572E-2,0.229
1.100,0.166,6.516E-2,0.221
1.133,0.173,6.469E-2,0.203
1.167,0.179,6.424E-2,0.191
1.200,0.186,6.381E-2,0.182
1.233,0.192,6.344E-2,0.183
1.267,0.198,6.317E-2,0.180
1.300,0.204,6.308E-2,0.181
1.333,0.210,6.203E-2,0.210
1.367,0.217,6.136E-2,0.205
1.400,0.223,6.203E-2,0.170
1.433,0.229,6.206E-2,0.161
1.467,0.234,6.207E-2,0.167
1.500,0.240,6.200E-2,0.165
1.533,0.245,6.174E-2,0.180
1.567,0.252,6.092E-2,0.182
1.600,0.257,6.052E-2,0.163
1.633,0.263,6.027E-2,0.158
1.667,0.268,6.016E-2,0.157
1.700,0.273,5.903E-2,0.142
1.733,0.277,5.894E-2,0.117
1.767,0.281,5.893E-2,0.111
1.800,0.285,5.895E-2,0.116
1.833,0.289,5.894E-2,0.119
1.867,0.292,5.864E-2,0.104
1.900,0.295,5.858E-2,9.174E-2
1.933,0.299,5.890E-2,9.614E-2
1.967,0.302,5.896E-2,0.100
2.000,0.305,5.896E-2,0.104
2.033,0.309,5.879E-2,9.997E-2
2.067,0.312,5.835E-2,9.070E-2
2.100,0.315,5.796E-2,8.140E-2
2.133,0.317,5.781E-2,6.956E-2
2.167,0.319,5.781E-2,5.856E-2
2.200,0.321,5.779E-2,5.572E-2
2.233,0.323,5.791E-2,6.089E-2
2.267,0.325,5.789E-2,6.237E-2
2.300,0.327,5.790E-2,5.523E-2
2.333,0.329,5.785E-2,4.656E-2
2.367,0.330,5.801E-2,4.849E-2
2.400,0.332,5.817E-2,5.403E-2
2.433,0.334,5.817E-2,5.663E-2
2.467,0.336,5.796E-2,5.450E-2
2.500,0.338,5.780E-2,4.464E-2
2.533,0.339,5.772E-2,3.306E-2
2.567,0.340,5.769E-2,4.425E-2
2.600,0.342,5.703E-2,3.979E-2
2.633,0.342,5.703E-2,2.512E-2
2.667,0.343,5.719E-2,3.509E-2
2.700,0.345,5.719E-2,4.279E-2
2.733,0.346,5.686E-2,
