masa_A
t,x,y,v
0.000,1.796E-3,7.697E-2,
0.033,3.023E-3,7.716E-2,4.448E-2
0.067,4.546E-3,7.808E-2,5.892E-2
0.100,6.780E-3,7.831E-2,7.324E-2
0.133,9.350E-3,7.896E-2,7.952E-2
0.167,1.197E-2,7.938E-2,7.742E-2
0.200,1.448E-2,7.951E-2,8.056E-2
0.233,1.733E-2,7.969E-2,8.872E-2
0.267,2.039E-2,7.964E-2,9.701E-2
0.300,2.378E-2,8.018E-2,0.100
0.333,2.704E-2,8.046E-2,0.100
0.367,3.045E-2,8.055E-2,0.106
0.400,3.412E-2,8.069E-2,0.113
0.433,3.795E-2,8.089E-2,0.116
0.467,4.183E-2,8.109E-2,0.122
0.500,4.611E-2,8.074E-2,0.126
0.533,5.021E-2,8.069E-2,0.128
0.567,5.463E-2,8.039E-2,0.131
0.600,5.897E-2,8.027E-2,0.130
0.633,6.332E-2,8.016E-2,0.131
0.667,6.767E-2,8.014E-2,0.132
0.700,7.209E-2,8.001E-2,0.131
0.733,7.641E-2,7.982E-2,0.133
0.767,8.097E-2,7.965E-2,0.132
0.800,8.519E-2,7.954E-2,0.145
0.833,9.064E-2,7.932E-2,0.169
0.867,9.640E-2,7.863E-2,0.162
0.900,0.101,7.823E-2,0.153
0.933,0.107,7.782E-2,0.158
0.967,0.112,7.708E-2,0.159
1.000,0.117,7.618E-2,0.155
1.033,0.122,7.589E-2,0.159
1.067,0.128,7.492E-2,0.158
1.100,0.133,7.451E-2,0.163
1.133,0.138,7.352E-2,0.160
1.167,0.143,7.281E-2,0.161
1.200,0.149,7.196E-2,0.165
1.233,0.154,7.157E-2,0.154
1.267,0.159,7.130E-2,0.157
1.300,0.164,7.096E-2,0.165
1.333,0.170,7.052E-2,0.163
1.367,0.175,6.993E-2,0.160
1.400,0.181,6.914E-2,0.160
1.433,0.186,6.847E-2,0.158
1.467,0.191,6.792E-2,0.163
1.500,0.197,6.722E-2,0.162
1.533,0.202,6.639E-2,0.159
1.567,0.207,6.573E-2,0.161
1.600,0.213,6.530E-2,0.162
1.633,0.218,6.490E-2,0.159
1.667,0.223,6.445E-2,0.156
1.700,0.228,6.407E-2,0.148
1.733,0.233,6.377E-2,0.138
1.767,0.237,6.363E-2,0.137
1.800,0.242,6.370E-2,0.141
1.833,0.247,6.392E-2,0.143
1.867,0.252,6.396E-2,0.138
1.900,0.256,6.393E-2,0.130
1.933,0.260,6.370E-2,0.126
1.967,0.265,6.369E-2,0.126
2.000,0.269,6.394E-2,0.128
2.033,0.273,6.385E-2,0.123
2.067,0.277,6.379E-2,0.117
2.100,0.281,6.352E-2,0.136
2.133,0.286,6.299E-2,0.137
2.167,0.290,6.260E-2,0.171
2.200,0.297,6.150E-2,0.159
2.233,0.300,6.133E-2,9.556E-2
2.267,0.304,6.142E-2,9.097E-2
2.300,0.307,6.139E-2,8.155E-2
2.333,0.309,6.138E-2,8.626E-2
2.367,0.312,6.095E-2,0.128
2.400,0.318,6.138E-2,0.138
2.433,0.321,6.182E-2,9.549E-2
2.467,0.324,6.062E-2,7.068E-2
2.500,0.326,6.109E-2,7.354E-2
2.533,0.329,6.139E-2,7.783E-2
2.567,0.331,6.152E-2,8.500E-2
2.600,0.334,6.148E-2,8.511E-2
2.633,0.337,6.111E-2,8.382E-2
2.667,0.340,6.040E-2,9.861E-2
2.700,0.343,6.002E-2,7.997E-2
2.733,0.345,6.033E-2,5.272E-2
2.767,0.347,6.030E-2,4.505E-2
2.800,0.348,6.045E-2,4.006E-2
2.833,0.350,6.043E-2,5.748E-2
2.867,0.352,6.040E-2,5.498E-2
2.900,0.353,6.038E-2,3.748E-2
2.933,0.355,6.036E-2,3.249E-2
2.967,0.355,6.035E-2,3.499E-2
3.000,0.357,6.033E-2,3.998E-2
3.033,0.358,6.031E-2,4.006E-2
3.067,0.360,6.013E-2,4.006E-2
3.100,0.361,6.011E-2,3.499E-2
3.133,0.362,6.009E-2,2.749E-2
3.167,0.363,6.008E-2,
