masa_A
t,x,y,v
0.000,-3.529E-5,6.329E-2,
0.033,-4.996E-4,6.233E-2,2.641E-2
0.067,1.436E-3,6.232E-2,6.564E-2
0.100,3.873E-3,6.214E-2,8.487E-2
0.133,7.071E-3,6.182E-2,0.106
0.167,1.086E-2,6.117E-2,0.118
0.200,1.485E-2,6.074E-2,0.124
0.233,1.915E-2,6.098E-2,0.140
0.267,2.416E-2,6.134E-2,0.157
0.300,2.963E-2,6.128E-2,0.172
0.333,3.562E-2,6.134E-2,0.187
0.367,4.211E-2,6.184E-2,0.204
0.400,4.921E-2,6.177E-2,0.221
0.433,5.682E-2,6.174E-2,0.236
0.467,6.495E-2,6.176E-2,0.249
0.500,7.342E-2,6.165E-2,0.263
0.533,8.251E-2,6.187E-2,0.286
0.567,9.246E-2,6.223E-2,0.308
0.600,0.103,6.196E-2,0.335
0.633,0.115,6.100E-2,0.361
0.667,0.127,6.073E-2,0.292
0.700,0.134,6.133E-2,0.227
0.733,0.142,6.049E-2,0.253
0.767,0.151,6.015E-2,0.265
0.800,0.160,5.837E-2,0.232
0.833,0.166,5.847E-2,0.198
0.867,0.173,5.786E-2,0.210
0.900,0.180,5.725E-2,0.237
0.933,0.189,5.547E-2,0.251
0.967,0.197,5.488E-2,0.263
1.000,0.206,5.526E-2,0.281
1.033,0.216,5.445E-2,0.293
1.067,0.225,5.317E-2,0.267
1.100,0.233,5.305E-2,0.177
1.133,0.237,5.263E-2,0.116
1.167,0.241,5.222E-2,7.943E-2
1.200,0.243,5.224E-2,6.841E-2
1.233,0.246,5.253E-2,0.101
1.267,0.249,5.258E-2,9.349E-2
1.300,0.252,5.262E-2,7.200E-2
1.333,0.254,5.242E-2,0.115
1.367,0.260,5.227E-2,0.126
1.400,0.262,5.207E-2,7.200E-2
1.433,0.264,5.258E-2,5.500E-2
1.467,0.266,5.285E-2,3.614E-2
1.500,0.267,5.286E-2,4.315E-2
1.533,0.269,5.289E-2,5.764E-2
1.567,0.271,5.268E-2,7.272E-2
1.600,0.274,5.225E-2,
