masa_A
t,x,y,v
0.000000000E0,-1.689766423E-3,7.211519482E-2,
3.333333333E-2,-1.014517208E-5,7.215854517E-2,5.491949958E-2
6.666666667E-2,1.966149963E-3,7.231367118E-2,6.277065653E-2
1.000000000E-1,4.171909115E-3,7.230762021E-2,8.528098711E-2
1.333333333E-1,7.651540010E-3,7.230350262E-2,1.100767168E-1
1.666666667E-1,1.151020293E-2,7.235515811E-2,1.271727939E-1
2.000000000E-1,1.610899708E-2,7.289600755E-2,1.483742246E-1
2.333333333E-1,2.140079049E-2,7.249772189E-2,1.670391424E-1
2.666666667E-1,2.722056380E-2,7.215959203E-2,2.000955666E-1
3.000000000E-1,3.466748027E-2,7.110392961E-2,2.124717061E-1
3.333333333E-1,4.120736033E-2,6.992117146E-2,2.336049941E-1
3.666666667E-1,5.007805146E-2,6.885595792E-2,2.671872431E-1
4.000000000E-1,5.887060099E-2,6.762019875E-2,2.575208646E-1
4.333333333E-1,6.709167710E-2,6.655840579E-2,2.615589008E-1
4.666666667E-1,7.615357374E-2,6.530570282E-2,2.567390932E-1
5.000000000E-1,8.410798629E-2,6.471433201E-2,2.707806495E-1
5.333333333E-1,9.409943901E-2,6.335066150E-2,3.085127054E-1
5.666666667E-1,1.044684566E-1,6.180334141E-2,2.928828528E-1
6.000000000E-1,1.134601213E-1,6.081885383E-2,2.862062762E-1
6.333333333E-1,1.234328306E-1,5.970217840E-2,3.038357597E-1
6.666666667E-1,1.336394756E-1,5.906165586E-2,3.240277287E-1
7.000000000E-1,1.450273929E-1,5.914115981E-2,3.239299975E-1
7.333333333E-1,1.552257562E-1,5.968687866E-2,3.061404887E-1
7.666666667E-1,1.654274322E-1,5.975810095E-2,2.942539715E-1
8.000000000E-1,1.748304966E-1,6.037836577E-2,2.740515470E-1
8.333333333E-1,1.836972059E-1,5.964839026E-2,2.694242237E-1
8.666666667E-1,1.927192658E-1,5.876233778E-2,2.495231524E-1
9.000000000E-1,2.003112107E-1,5.881534042E-2,2.000862106E-1
9.333333333E-1,2.060134510E-1,5.766885100E-2,1.796759001E-1
9.666666667E-1,2.121852189E-1,5.723741909E-2,1.607779229E-1
1.000000000E0,2.166962488E-1,5.679439285E-2,1.463013264E-1
1.033333333E0,2.219173673E-1,5.659358388E-2,1.637053011E-1
1.066666667E0,2.276096696E-1,5.687058413E-2,1.743817338E-1
1.100000000E0,2.335425329E-1,5.667474416E-2,1.962515617E-1
1.133333333E0,2.406649502E-1,5.601268930E-2,1.998011648E-1
1.166666667E0,2.468350618E-1,5.581850566E-2,1.565876793E-1
1.200000000E0,2.511038745E-1,5.608556792E-2,1.103231377E-1
1.233333333E0,2.541897584E-1,5.586985197E-2,6.143460120E-2
1.266666667E0,2.551420642E-1,5.540198074E-2,4.329480312E-2
1.300000000E0,2.570400504E-1,5.541523140E-2,4.995029120E-2
1.333333333E0,2.584651964E-1,5.518792112E-2,6.405859609E-2
1.366666667E0,2.613105194E-1,5.544504538E-2,8.541146146E-2
1.400000000E0,2.641591551E-1,5.522767309E-2,9.244368100E-2
1.433333333E0,2.673604489E-1,5.427038021E-2,1.108385354E-1
1.466666667E0,2.715188207E-1,5.456727456E-2,1.015993648E-1
1.500000000E0,2.741318644E-1,5.411099766E-2,6.737414183E-2
1.533333333E0,2.695115014E-1,5.054916249E-2,
