masa_A
t,x,y,v
0.000000000E0,5.417675024E-4,7.263865694E-2,
3.333333333E-2,1.058120063E-3,7.274671138E-2,2.165900996E-2
6.666666667E-2,1.937476364E-3,7.300871391E-2,3.291950422E-2
1.000000000E-1,3.075906344E-3,7.360981926E-2,4.140119437E-2
1.333333333E-1,4.554265078E-3,7.388647035E-2,4.654727126E-2
1.666666667E-1,6.136856851E-3,7.411984938E-2,5.338020910E-2
2.000000000E-1,8.011391753E-3,7.473055732E-2,6.474661671E-2
2.333333333E-1,1.032007829E-2,7.518395572E-2,7.573947351E-2
2.666666667E-1,1.282975580E-2,7.624012035E-2,8.136740617E-2
3.000000000E-1,1.535632551E-2,7.719923394E-2,8.850540829E-2
3.333333333E-1,1.851449070E-2,7.782064044E-2,9.707759646E-2
3.666666667E-1,2.170524038E-2,7.845461830E-2,1.045236743E-1
4.000000000E-1,2.541550377E-2,7.878627823E-2,1.077787141E-1
4.333333333E-1,2.881207949E-2,7.951321223E-2,1.183997433E-1
4.666666667E-1,3.323826023E-2,7.983933206E-2,1.409522994E-1
5.000000000E-1,3.819695342E-2,7.998688573E-2,1.384093451E-1
5.333333333E-1,4.245687138E-2,8.023943602E-2,1.462095029E-1
5.666666667E-1,4.794166555E-2,8.021148908E-2,1.753173120E-1
6.000000000E-1,5.414238753E-2,8.000734280E-2,2.034391139E-1
6.333333333E-1,6.146041916E-2,7.912170669E-2,2.055860186E-1
6.666666667E-1,6.775990196E-2,7.845477690E-2,2.133896083E-1
7.000000000E-1,7.555689565E-2,7.720658699E-2,2.226358524E-1
7.333333333E-1,8.248735286E-2,7.661121089E-2,2.301021848E-1
7.666666667E-1,9.078053988E-2,7.531959868E-2,2.502557211E-1
8.000000000E-1,9.896056077E-2,7.396928759E-2,2.328201193E-1
8.333333333E-1,1.060926957E-1,7.277992961E-2,2.316211266E-1
8.666666667E-1,1.142532905E-1,7.183164552E-2,2.395159148E-1
9.000000000E-1,1.219712407E-1,7.109465953E-2,2.346940790E-1
9.333333333E-1,1.297738835E-1,6.985250043E-2,2.360411997E-1
9.666666667E-1,1.374681793E-1,6.836169288E-2,2.260705097E-1
1.000000000E0,1.445677930E-1,6.697389719E-2,2.174291634E-1
1.033333333E0,1.516816904E-1,6.551754567E-2,2.086498886E-1
1.066666667E0,1.581966773E-1,6.419155885E-2,1.951005719E-1
1.100000000E0,1.644550620E-1,6.306492511E-2,1.869936981E-1
1.133333333E0,1.704689203E-1,6.200081623E-2,1.745190912E-1
1.166666667E0,1.759835459E-1,6.149708651E-2,1.629236658E-1
1.200000000E0,1.812975468E-1,6.115540610E-2,1.625889319E-1
1.233333333E0,1.868088378E-1,6.094694200E-2,1.829022501E-1
1.266666667E0,1.934876799E-1,6.086958720E-2,1.907659959E-1
1.300000000E0,1.995123005E-1,6.034463821E-2,2.089552601E-1
1.333333333E0,2.073862654E-1,5.992938007E-2,1.972870476E-1
1.366666667E0,2.126436270E-1,5.959916781E-2,1.580750895E-1
1.400000000E0,2.179150397E-1,5.948048451E-2,1.627647825E-1
1.433333333E0,2.234915795E-1,5.934262416E-2,1.640477964E-1
1.466666667E0,2.288471803E-1,5.917102228E-2,1.597737241E-1
1.500000000E0,2.341329006E-1,5.887521167E-2,1.597836619E-1
1.533333333E0,2.394844604E-1,5.860659603E-2,1.578932632E-1
1.566666667E0,2.445858754E-1,5.763562548E-2,1.477656528E-1
1.600000000E0,2.492401687E-1,5.723940397E-2,1.478138606E-1
1.633333333E0,2.544147963E-1,5.692943653E-2,1.508363129E-1
1.666666667E0,2.592891001E-1,5.686904067E-2,1.399285789E-1
1.700000000E0,2.637386407E-1,5.663248742E-2,1.312050920E-1
1.733333333E0,2.680272510E-1,5.647554832E-2,1.254735834E-1
1.766666667E0,2.721003662E-1,5.640185278E-2,1.253195374E-1
1.800000000E0,2.763818444E-1,5.644893787E-2,1.244357643E-1
1.833333333E0,2.803951142E-1,5.652868426E-2,1.106056166E-1
