masa_A
t,x,y
0.000,3.044E-4,7.317E-2
0.033,6.356E-4,7.283E-2
0.067,3.112E-3,7.290E-2
0.100,6.025E-3,7.288E-2
0.133,9.688E-3,7.277E-2
0.167,1.393E-2,7.267E-2
0.200,1.901E-2,7.265E-2
0.233,2.412E-2,7.245E-2
0.267,2.939E-2,7.231E-2
0.300,3.497E-2,7.217E-2
0.333,4.059E-2,7.224E-2
0.367,4.626E-2,7.225E-2
0.400,5.185E-2,7.198E-2
0.433,5.794E-2,7.123E-2
0.467,6.374E-2,7.077E-2
0.500,7.009E-2,6.985E-2
0.533,7.633E-2,6.922E-2
0.567,8.308E-2,6.830E-2
0.600,8.907E-2,6.768E-2
0.633,9.553E-2,6.677E-2
0.667,0.102,6.609E-2
0.700,0.108,6.535E-2
0.733,0.114,6.492E-2
0.767,0.120,6.468E-2
0.800,0.125,6.451E-2
0.833,0.131,6.445E-2
0.867,0.137,6.424E-2
0.900,0.143,6.372E-2
0.933,0.148,6.352E-2
0.967,0.153,6.334E-2
1.000,0.159,6.317E-2
1.033,0.164,6.299E-2
1.067,0.169,6.308E-2
1.100,0.175,6.332E-2
1.133,0.181,6.338E-2
1.167,0.188,6.332E-2
1.200,0.194,6.309E-2
1.233,0.201,6.271E-2
1.267,0.208,6.188E-2
1.300,0.215,6.150E-2
1.333,0.221,6.108E-2
1.367,0.228,6.048E-2
1.400,0.234,6.003E-2
1.433,0.240,5.974E-2
1.467,0.250,5.929E-2
1.500,0.254,5.859E-2
1.533,0.261,5.954E-2
1.567,0.265,5.849E-2
1.600,0.270,5.845E-2
1.633,0.274,5.831E-2
1.667,0.278,5.823E-2
1.700,0.284,5.836E-2
1.733,0.289,5.830E-2
1.767,0.293,5.815E-2
1.800,0.298,5.789E-2
1.833,0.303,5.718E-2
1.867,0.308,5.675E-2
1.900,0.312,5.659E-2
1.933,0.316,5.654E-2
1.967,0.319,5.660E-2
2.000,0.322,5.664E-2
2.033,0.324,5.670E-2
2.067,0.327,5.680E-2
2.100,0.331,5.658E-2
2.133,0.335,5.555E-2
2.167,0.339,5.685E-2
2.200,0.341,5.650E-2
2.233,0.344,5.714E-2
2.267,0.347,5.711E-2
2.300,0.351,5.608E-2
2.333,0.352,5.607E-2
2.367,0.353,5.606E-2
2.400,0.355,5.604E-2
2.433,0.355,5.570E-2
2.467,0.355,5.570E-2
2.500,0.356,5.570E-2
2.533,0.358,5.635E-2
2.567,0.359,5.601E-2
2.600,0.360,5.599E-2
2.633,0.361,5.599E-2
2.667,0.363,5.664E-2
