masa_A
t,x,y,K
0.000,3.333E-3,6.200E-2,
0.033,4.836E-3,6.210E-2,1.272E-3
0.067,6.683E-3,6.229E-2,1.768E-3
0.100,8.730E-3,6.284E-2,2.158E-3
0.133,1.096E-2,6.325E-2,1.966E-3
0.167,1.288E-2,6.337E-2,2.011E-3
0.200,1.518E-2,6.340E-2,2.585E-3
0.233,1.767E-2,6.357E-2,2.910E-3
0.267,2.026E-2,6.365E-2,2.882E-3
0.300,2.270E-2,6.407E-2,3.696E-3
0.333,2.592E-2,6.457E-2,4.826E-3
0.367,2.922E-2,6.477E-2,5.044E-3
0.400,3.261E-2,6.482E-2,5.983E-3
0.433,3.650E-2,6.506E-2,7.252E-3
0.467,4.063E-2,6.526E-2,6.848E-3
0.500,4.428E-2,6.565E-2,7.567E-3
0.533,4.879E-2,6.602E-2,1.027E-2
0.567,5.382E-2,6.628E-2,9.988E-3
0.600,5.814E-2,6.724E-2,1.099E-2
0.633,6.362E-2,6.758E-2,1.145E-2
0.667,6.819E-2,6.805E-2,1.316E-2
0.700,7.438E-2,6.864E-2,1.798E-2
0.733,8.082E-2,6.867E-2,1.971E-2
0.767,8.761E-2,6.867E-2,2.216E-2
0.800,9.486E-2,6.845E-2,2.437E-2
0.833,0.102,6.843E-2,2.941E-2
0.867,0.111,6.766E-2,3.127E-2
0.900,0.119,6.731E-2,2.850E-2
0.933,0.127,6.707E-2,3.111E-2
0.967,0.136,6.654E-2,3.037E-2
1.000,0.143,6.575E-2,2.927E-2
1.033,0.152,6.495E-2,2.827E-2
1.067,0.159,6.436E-2,2.630E-2
1.100,0.167,6.380E-2,2.444E-2
1.133,0.174,6.333E-2,2.065E-2
1.167,0.180,6.288E-2,1.825E-2
1.200,0.186,6.245E-2,1.652E-2
1.233,0.192,6.208E-2,1.669E-2
1.267,0.199,6.181E-2,1.618E-2
1.300,0.204,6.172E-2,1.503E-2
1.333,0.210,6.153E-2,2.377E-2
1.367,0.219,6.133E-2,2.255E-2
1.400,0.224,6.067E-2,1.284E-2
1.433,0.230,6.070E-2,1.298E-2
1.467,0.235,6.071E-2,1.398E-2
1.500,0.241,6.064E-2,1.368E-2
1.533,0.246,6.038E-2,1.615E-2
1.567,0.253,5.956E-2,1.650E-2
1.600,0.258,5.916E-2,1.324E-2
1.633,0.264,5.891E-2,1.241E-2
1.667,0.269,5.880E-2,1.240E-2
1.700,0.274,5.767E-2,1.003E-2
1.733,0.278,5.758E-2,6.816E-3
1.767,0.282,5.757E-2,6.199E-3
1.800,0.285,5.759E-2,6.671E-3
1.833,0.289,5.758E-2,7.104E-3
1.867,0.293,5.727E-2,5.422E-3
1.900,0.296,5.722E-2,4.208E-3
1.933,0.299,5.754E-2,4.621E-3
1.967,0.303,5.760E-2,5.035E-3
2.000,0.306,5.759E-2,5.420E-3
2.033,0.310,5.743E-2,4.997E-3
2.067,0.313,5.699E-2,4.113E-3
2.100,0.316,5.660E-2,3.313E-3
2.133,0.318,5.645E-2,2.419E-3
2.167,0.320,5.645E-2,1.714E-3
2.200,0.322,5.643E-2,1.552E-3
2.233,0.324,5.655E-2,1.854E-3
2.267,0.326,5.653E-2,1.945E-3
2.300,0.328,5.653E-2,1.525E-3
2.333,0.330,5.649E-2,1.084E-3
2.367,0.331,5.665E-2,1.176E-3
2.400,0.333,5.681E-2,1.460E-3
2.433,0.335,5.681E-2,1.603E-3
2.467,0.337,5.660E-2,1.485E-3
2.500,0.339,5.644E-2,9.962E-4
2.533,0.340,5.635E-2,5.465E-4
2.567,0.341,5.633E-2,4.632E-4
2.600,0.342,5.633E-2,1.190E-3
2.633,0.344,5.600E-2,1.987E-3
2.667,0.346,5.583E-2,1.525E-3
2.700,0.348,5.567E-2,8.031E-4
2.733,0.349,5.567E-2,
