masa_A
t,x,y
0.000,0.368,1.410E-2
0.033,0.368,1.410E-2
0.067,0.368,1.413E-2
0.100,0.367,1.420E-2
0.133,0.367,1.435E-2
0.167,0.365,1.512E-2
0.200,0.364,1.550E-2
0.233,0.362,1.629E-2
0.267,0.360,1.670E-2
0.300,0.357,1.688E-2
0.333,0.355,1.714E-2
0.367,0.352,1.777E-2
0.400,0.349,1.803E-2
0.433,0.345,1.810E-2
0.467,0.341,1.816E-2
0.500,0.338,1.836E-2
0.533,0.334,1.838E-2
0.567,0.330,1.822E-2
0.600,0.326,1.822E-2
0.633,0.322,1.818E-2
0.667,0.318,1.807E-2
0.700,0.314,1.807E-2
0.733,0.309,1.795E-2
0.767,0.304,1.773E-2
0.800,0.300,1.748E-2
0.833,0.294,1.718E-2
0.867,0.289,1.687E-2
0.900,0.283,1.679E-2
0.933,0.277,1.684E-2
0.967,0.272,1.676E-2
1.000,0.266,1.670E-2
1.033,0.260,1.640E-2
1.067,0.252,1.566E-2
1.100,0.246,1.502E-2
1.133,0.238,1.400E-2
1.167,0.230,1.289E-2
1.200,0.223,1.229E-2
1.233,0.216,1.158E-2
1.267,0.209,1.108E-2
1.300,0.202,1.021E-2
1.333,0.195,9.146E-3
1.367,0.188,8.542E-3
1.400,0.182,8.065E-3
1.433,0.175,7.886E-3
1.467,0.169,7.406E-3
1.500,0.164,7.132E-3
1.533,0.159,7.087E-3
1.567,0.153,7.239E-3
1.600,0.148,7.402E-3
1.633,0.142,7.488E-3
1.667,0.137,7.425E-3
1.700,0.132,7.243E-3
1.733,0.127,7.396E-3
1.767,0.120,7.048E-3
1.800,0.113,6.377E-3
1.833,0.106,6.377E-3
1.867,0.101,6.041E-3
1.900,9.614E-2,5.861E-3
1.933,9.136E-2,5.485E-3
1.967,8.670E-2,5.086E-3
2.000,8.235E-2,4.796E-3
2.033,7.850E-2,4.679E-3
2.067,7.350E-2,4.363E-3
2.100,7.008E-2,4.333E-3
2.133,6.569E-2,4.343E-3
2.167,6.160E-2,4.329E-3
2.200,5.763E-2,4.239E-3
2.233,5.438E-2,4.219E-3
2.267,5.110E-2,4.389E-3
2.300,4.711E-2,4.480E-3
2.333,4.390E-2,4.330E-3
2.367,4.038E-2,4.357E-3
2.400,3.692E-2,3.854E-3
2.433,3.499E-2,3.392E-3
2.467,3.231E-2,3.276E-3
2.500,2.955E-2,3.250E-3
2.533,2.705E-2,3.440E-3
2.567,2.400E-2,3.524E-3
2.600,2.191E-2,3.660E-3
2.633,1.981E-2,3.585E-3
2.667,1.801E-2,3.542E-3
2.700,1.647E-2,3.662E-3
2.733,1.482E-2,3.654E-3
2.767,1.339E-2,3.639E-3
2.800,1.196E-2,3.627E-3
2.833,1.055E-2,3.602E-3
2.867,9.283E-3,3.587E-3
2.900,8.084E-3,3.609E-3
2.933,6.970E-3,3.595E-3
2.967,5.928E-3,3.544E-3
3.000,5.119E-3,3.609E-3
3.033,4.124E-3,3.686E-3
3.067,3.352E-3,3.697E-3
3.100,2.685E-3,3.675E-3
3.133,2.330E-3,3.655E-3
3.167,1.837E-3,3.641E-3
3.200,1.290E-3,3.635E-3
3.233,9.691E-4,3.639E-3
3.267,4.703E-4,3.589E-3
3.300,1.405E-4,3.530E-3
3.333,1.882E-5,3.514E-3
