t,x,y,v
0.0,0.0016,0.0718,0.0
0.0331,0.0026,0.0718,0.0399
0.0669,0.0042,0.0721,0.0557
0.1,0.0062,0.0724,0.0642
0.1331,0.0084,0.0727,0.0677
0.1669,0.0107,0.0729,0.0715
0.2,0.0132,0.073,0.0795
0.2331,0.0159,0.0732,0.0854
0.2669,0.0188,0.0734,0.0892
0.3,0.0218,0.0738,0.0973
0.3331,0.0253,0.0741,0.1057
0.3669,0.0288,0.0743,0.1099
0.4,0.0326,0.0744,0.118
0.4331,0.0367,0.0745,0.1267
0.4669,0.041,0.0746,0.1308
0.5,0.0454,0.0746,0.1354
0.5331,0.05,0.0747,0.1505
0.5669,0.0554,0.0744,0.1561
0.6,0.0604,0.0746,0.1637
0.6331,0.0662,0.0743,0.1685
0.6669,0.0715,0.0742,0.1754
0.7,0.0778,0.0739,0.1898
0.7331,0.0841,0.0735,0.1943
0.7669,0.0907,0.0731,0.2054
0.8,0.0977,0.0724,0.2112
0.8331,0.1045,0.0719,0.2207
0.8669,0.1122,0.071,0.2224
0.9,0.1194,0.0704,0.215
0.9331,0.1265,0.0699,0.2177
0.9669,0.134,0.0691,0.2135
1.0,0.1405,0.0682,0.2095
1.0331,0.1478,0.0673,0.2057
1.0669,0.1542,0.0665,0.1981
1.1,0.1609,0.0659,0.1955
1.1331,0.1672,0.0653,0.1872
1.1669,0.1729,0.0647,0.1828
1.2,0.1792,0.0643,0.1816
1.2331,0.1853,0.0639,0.1828
1.2669,0.1916,0.0635,0.1794
1.3,0.1971,0.0632,0.1843
1.3331,0.2037,0.0627,0.1973
1.3669,0.2101,0.0622,0.1841
1.4,0.2158,0.0621,0.1678
1.4331,0.2216,0.0619,0.1686
1.4669,0.2271,0.0617,0.1703
1.5,0.233,0.0616,0.164
1.5331,0.2381,0.0613,0.166
1.5669,0.2439,0.0607,0.164
1.6,0.249,0.0604,0.1552
1.6331,0.2544,0.0601,0.153
1.6669,0.2592,0.06,0.1542
1.7,0.2643,0.0594,0.1481
1.7331,0.269,0.0593,0.1325
1.7669,0.2732,0.0592,0.1277
1.8,0.2774,0.0592,0.1293
1.8331,0.2818,0.0592,0.1286
1.8669,0.2859,0.059,0.1199
1.9,0.2897,0.059,0.1094
1.9331,0.2933,0.0591,0.1145
1.9669,0.2975,0.0591,0.1153
2.0,0.301,0.0591,0.1068
2.0331,0.3046,0.059,0.1068
2.0669,0.3082,0.0587,0.1052
2.1,0.3116,0.0584,0.1019
2.1331,0.3148,0.0581,0.0961
2.1669,0.3178,0.0581,0.0918
2.2,0.3209,0.0579,0.0857
2.2331,0.3235,0.058,0.0795
2.2669,0.3263,0.058,0.079
2.3,0.3288,0.0578,0.0684
2.3331,0.3308,0.0578,0.059
2.3669,0.3327,0.0578,0.0665
2.4,0.3353,0.0579,0.0665
2.4331,0.3372,0.0579,0.0572
2.4669,0.3391,0.0576,0.053
2.5,0.3409,0.0576,0.0512
2.5331,0.3424,0.0577,0.0463
2.5669,0.3438,0.0576,0.0476
2.6,0.3455,0.0575,0.0497
2.6331,0.347,0.0574,0.0501
2.6669,0.3488,0.0573,0.058
2.7,0.351,0.057,0.0583
2.7331,0.3527,0.0569,0.0607
2.7669,0.3554,0.0576,0.0483
2.8,0.3566,0.0577,0.0394
2.8331,0.358,0.0574,0.0431
2.8669,0.3596,0.0574,0.036
2.9,0.3603,0.0574,0.0303
2.9331,0.3616,0.0575,0.0373
